policy,real_seconds,cells_per_second,maximum_resident_set_size,peak_memory_footprint,p_core_share,e_core_share
default,0.58,1158179.3103448276,40550400.0,40108992.0,0.8,0.2
utility,0.6,1119573.3333333335,43778048.0,43320192.0,1.0,0.0
background,3.64,184545.05494505493,27000832.0,26542976.0,0.5,0.5
